Name	frame_num	pts_tracked	loop_time	track_time
FAST	120	5	14.6567	14.6475
FAST	121	5	14.7441	14.7355
FAST	122	5	14.6064	14.5972
FAST	123	5	14.8682	14.8591
FAST	124	5	15.089	15.0807
FAST	125	5	14.5451	14.5368
FAST	126	5	14.8357	14.827
FAST	127	4	14.7128	14.7
FAST	128	4	14.2225	14.2141
FAST	129	4	14.1013	14.0927
FAST	130	4	14.1768	14.1685
FAST	131	4	14.1188	14.1094
FAST	132	4	14.1048	14.0958
FAST	133	4	14.1074	14.0988
FAST	134	4	14.086	14.0766
FAST	135	4	14.0158	14.0066
FAST	136	4	14.0999	14.0916
FAST	137	4	14.1059	14.0975
FAST	138	4	14.0285	14.0201
FAST	139	4	14.1964	14.1871
FAST	140	4	14.1108	14.1016
FAST	141	4	14.0933	14.084
FAST	142	4	14.0997	14.0907
FAST	143	4	14.154	14.1448
FAST	144	4	14.1606	14.1523
FAST	145	4	14.0412	14.0324
FAST	146	4	14.1564	14.1478
FAST	147	4	14.1869	14.1783
FAST	148	4	13.969	13.9601
FAST	149	4	14.106	14.0972
FAST	150	4	14.1116	14.1018
FAST	151	4	14.212	14.2024
FAST	152	4	14.4079	14.3981
FAST	153	4	14.089	14.0805
FAST	154	4	14.0657	14.0569
FAST	155	4	14.0689	14.0598
FAST	156	4	14.0207	14.0114
FAST	157	4	14.1286	14.119
FAST	158	4	14.0344	14.0253
FAST	159	4	14.078	14.0693
FAST	160	4	14.1076	14.0994
FAST	161	4	13.9919	13.9834
FAST	162	4	14.0753	14.066
FAST	163	4	14.0133	14.005
FAST	164	4	14.2359	14.2264
FAST	165	4	14.2818	14.2731
FAST	166	4	14.5319	14.5236
FAST	167	4	14.2589	14.2498
FAST	168	4	14.1118	14.1034
FAST	169	4	14.1059	14.0979
FAST	170	4	14.1527	14.1439
FAST	171	4	14.149	14.1411
FAST	172	4	14.1094	14.101
FAST	173	4	14.0776	14.0679
FAST	174	4	15.3923	15.3841
FAST	175	3	14.8304	14.8211
FAST	176	2	13.585	13.577
FAST	177	2	13.1319	13.1235
FAST	178	2	13.0984	13.0901
FAST	179	2	13.2189	13.2103
FAST	180	2	13.2243	13.2149
FAST	181	2	13.261	13.2534
FAST	182	2	13.4259	13.4168
FAST	183	2	13.314	13.3057
FAST	184	2	13.2435	13.2351
FAST	185	2	13.3899	13.3816
FAST	186	2	13.3898	13.3814
FAST	187	2	13.4501	13.4409
FAST	188	2	13.3632	13.3543
FAST	189	2	14.1518	14.1416
FAST	190	2	13.172	13.1632
FAST	191	2	12.987	12.9785
FAST	192	2	13.3383	13.3292
FAST	193	2	13.1827	13.1734
FAST	194	2	13.0739	13.0654
FAST	195	2	13.1997	13.1909
FAST	196	2	13.117	13.1082
FAST	197	2	13.2277	13.2195
FAST	198	2	13.1017	13.0922
FAST	199	2	13.2562	13.2464
FAST	200	2	13.0813	13.0729
FAST	201	2	13.1079	13.0997
FAST	202	2	13.0669	13.0572
FAST	203	2	13.1773	13.1685
FAST	204	2	13.1635	13.1544
FAST	205	2	13.1327	13.1238
FAST	206	2	13.1853	13.1771
FAST	207	2	13.2551	13.2465
FAST	208	2	13.1634	13.1547
FAST	209	2	13.0239	13.0156
FAST	210	2	13.0602	13.0515
FAST	211	2	13.0701	13.0625
FAST	212	2	13.0339	13.0239
FAST	213	2	13.018	13.0093
FAST	214	2	13.0882	13.0792
FAST	215	2	13.1249	13.1159
FAST	216	2	13.1681	13.1589
FAST	217	2	13.1618	13.1525
FAST	218	2	13.1254	13.1163
FAST	219	2	13.0002	12.9923
FAST	220	2	13.0399	13.0312
FAST	221	2	13.336	13.3267
FAST	222	2	13.5169	13.5078
FAST	223	2	13.217	13.2084
FAST	224	1	13.1707	13.162
FAST	225	1	12.6241	12.6153
